MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BE,RKDL,RAVI KUMAR DIST. LTD.,        10.00,         9.50,        10.50,         9.50,         9.85,                    86094.75,8976,N, ,45,        24.95,         8.00
N,BE,ROHITFERRO,ROHIT FERRO-TECH LIMITED,         2.00,         1.90,         2.10,         1.90,         1.90,                    18307.80,9035,N, ,20,         5.45,         1.70
N,BE,RUCHINFRA,RUCHI INFRASTRUCTURE LTD,         6.10,         6.40,         6.40,         6.40,         6.40,                   155020.80,24222,N, ,52,         6.40,         2.20
N,BE,SABTN,SRI ADHIKARI BROS.,         6.20,         6.05,         6.30,         5.90,         5.90,                   124810.30,20900,N, ,62,       104.00,         5.00
N,BE,SAKHTISUG,SAKHTISUG SUGARS LTD,        14.50,        14.20,        14.20,        13.80,        13.80,                   491669.40,35616,N, ,127,        29.15,        11.80
N,BE,SANGHVIFOR,SANGHVI FOR & ENG LTD,        26.75,        25.50,        26.00,        25.45,        25.45,                    63394.40,2487,N, ,14,        47.70,        23.30
N,BE,SEPOWER,S.E. POWER LIMITED,         4.55,         4.55,         4.55,         4.50,         4.55,                    18194.55,4001,N, ,9,        12.90,         2.85
N,BE,SHRIPISTON,SHRIRAM PIST. & RING LTD,      1298.90,      1275.00,      1299.00,      1275.00,      1297.95,                   111054.45,86,N, ,17,      2325.00,      1243.10
N,BE,SIL,STANDARD INDUSTRIES LTD.,        16.00,        15.50,        16.40,        15.50,        16.40,                    24013.50,1527,N, ,4,        29.30,        15.00
N,BE,SIMBHALS,SIMBHAOLI SUGARS LTD.,        14.25,        13.55,        14.60,        13.55,        13.55,                   190357.65,13753,N, ,55,        34.35,         8.30
N,BE,SITASHREE,SITA SHREE FOOD PROD LTD,          .90,          .95,          .95,          .90,          .95,                    48374.85,51822,N, ,28,         7.55,          .90
N,BE,SMPL,SPLENDID METAL PRODUCTS L,          .50,          .50,          .50,          .45,          .45,                     8080.45,17785,N, ,15,         2.15,          .45
N,BE,SORILINFRA,SORIL INFRA RESOURCES LTD,       576.25,       547.45,       547.45,       547.45,       547.45,                  1081213.75,1975,N, ,41,       890.15,       124.20
N,BE,SPENTEX,SPENTEX IND. LTD,         2.70,         2.70,         2.70,         2.60,         2.60,                    19990.80,7462,N, ,16,        10.40,         2.40
N,BE,SPYL,SHEKHAWATI POLY-YARN LTD.,          .25,          .25,          .30,          .25,          .25,                    39316.85,152866,N, ,23,          .85,          .25
N,BE,STEELXIND,STEEL EXCHANGE INDIA LTD,        25.30,        25.10,        25.10,        24.05,        24.05,                   792212.70,32938,N, ,40,       133.55,        14.05
N,BE,STEL,STEL HOLDINGS LIMITED,       102.75,       101.00,       103.50,        97.65,        97.65,                  1915088.30,19339,N, ,128,       149.50,        82.00
N,BE,SUMEETINDS,SUMEET IND LIMITED,         7.30,         7.65,         7.65,         6.95,         6.95,                  1042128.60,148718,N, ,290,        39.50,         6.70
N,BE,SUNILHITEC,SUNIL HITECH ENGR. LTD,         1.60,         1.55,         1.55,         1.55,         1.55,                   150467.80,97076,N, ,100,        16.25,         1.55
N,BE,SUPERSPIN,SUPER SPINNING MILLS LTD,         6.60,         6.55,         6.75,         6.30,         6.30,                    70507.35,11035,N, ,50,        24.60,         4.90
